INVOICE_ID;ORDER_ID;TAX_ID;ISSUE_DATE
1;1;90528889751;2024-09-05 00:00:00
2;2;17957586200;2024-09-05 00:00:00
3;3;27525369213;2024-09-05 00:00:00
4;4;38008218253;2024-09-05 00:00:00
5;5;92235138021;2024-09-05 00:00:00
6;6;48091726594;2024-09-05 00:00:00
7;7;13914321894;2024-09-05 00:00:00
8;8;87171407783;2024-09-05 00:00:00
9;9;57805163672;2024-09-05 00:00:00
10;10;33470135157;2024-09-05 00:00:00
11;11;83580179666;2024-09-05 00:00:00
12;12;43435112105;2024-09-05 00:00:00
13;13;54840170024;2024-09-05 00:00:00
14;14;51625340063;2024-09-05 00:00:00
15;15;58024891641;2024-09-05 00:00:00
16;16;41176063463;2024-09-05 00:00:00
17;17;90233454791;2024-09-05 00:00:00
18;18;42283874161;2024-09-05 00:00:00
19;19;49751138757;2024-09-05 00:00:00
20;20;59895483745;2024-09-05 00:00:00
21;21;87470858161;2024-09-05 00:00:00
22;22;46715862986;2024-09-05 00:00:00
23;23;41718323918;2024-09-05 00:00:00
24;24;84422626028;2024-09-05 00:00:00
25;25;53668713081;2024-09-05 00:00:00
26;26;82220813813;2024-09-05 00:00:00
27;27;02327005080;2024-09-05 00:00:00
28;28;26694595871;2024-09-05 00:00:00
29;29;36554273577;2024-09-05 00:00:00
30;30;68283539259;2024-09-05 00:00:00
31;31;46872664560;2024-09-05 00:00:00
32;32;27907308244;2024-09-05 00:00:00
33;33;14606707142;2024-09-05 00:00:00
34;34;83952785216;2024-09-05 00:00:00
35;35;31297787409;2024-09-05 00:00:00
36;36;24233205902;2024-09-05 00:00:00
37;37;41039267204;2024-09-05 00:00:00
38;38;34733510270;2024-09-05 00:00:00
39;39;53010074598;2024-09-05 00:00:00
40;40;32945916525;2024-09-05 00:00:00
41;41;46043224407;2024-09-05 00:00:00
42;42;16796174674;2024-09-05 00:00:00
43;43;48104602315;2024-09-05 00:00:00
44;44;01131186690;2024-09-05 00:00:00
45;45;58750472162;2024-09-05 00:00:00
46;46;34506529660;2024-09-05 00:00:00
47;47;27403977144;2024-09-05 00:00:00
48;48;83255755206;2024-09-05 00:00:00
49;49;22664786005;2024-09-05 00:00:00
50;50;55331919024;2024-09-05 00:00:00
51;51;21057341479;2024-09-05 00:00:00
52;52;78020789778;2024-09-05 00:00:00
53;53;57592652351;2024-09-05 00:00:00
54;54;81544037287;2024-09-05 00:00:00
55;55;90736898282;2024-09-05 00:00:00
56;56;09634411680;2024-09-05 00:00:00
57;57;03864579126;2024-09-05 00:00:00
58;58;52893097831;2024-09-05 00:00:00
59;59;25164670548;2024-09-05 00:00:00
60;60;69404179822;2024-09-05 00:00:00
61;61;00310336912;2024-09-05 00:00:00
62;62;75326591352;2024-09-05 00:00:00
63;63;40783925632;2024-09-05 00:00:00
64;64;95592839345;2024-09-05 00:00:00
65;65;83327087903;2024-09-05 00:00:00
66;66;66058239881;2024-09-05 00:00:00
67;67;35118172488;2024-09-05 00:00:00
68;68;73505098123;2024-09-05 00:00:00
69;69;62750435156;2024-09-05 00:00:00
70;70;92661319657;2024-09-05 00:00:00
71;71;63933588721;2024-09-05 00:00:00
72;72;59277707297;2024-09-05 00:00:00
73;73;44297843565;2024-09-05 00:00:00
74;74;32396973545;2024-09-05 00:00:00
75;75;91616276591;2024-09-05 00:00:00
76;76;66224908293;2024-09-05 00:00:00
77;77;49655843891;2024-09-05 00:00:00
78;78;50808017458;2024-09-05 00:00:00
79;79;95965481192;2024-09-05 00:00:00
80;80;41572278008;2024-09-05 00:00:00
81;81;54786844495;2024-09-05 00:00:00
82;82;22048528571;2024-09-05 00:00:00
83;83;95546793431;2024-09-05 00:00:00
84;84;31602555712;2024-09-05 00:00:00
85;85;59597939585;2024-09-05 00:00:00
86;86;43257102723;2024-09-05 00:00:00
87;87;19762152731;2024-09-05 00:00:00
88;88;46365611984;2024-09-05 00:00:00
89;89;58489014671;2024-09-05 00:00:00
90;90;50567979184;2024-09-05 00:00:00
91;91;31953307944;2024-09-05 00:00:00
92;92;00484056301;2024-09-05 00:00:00
93;93;05673574115;2024-09-05 00:00:00
94;94;63859096971;2024-09-05 00:00:00
95;95;33169460808;2024-09-05 00:00:00
96;96;69281624421;2024-09-05 00:00:00
97;97;50461564508;2024-09-05 00:00:00
98;98;47677861551;2024-09-05 00:00:00
99;99;67891397706;2024-09-05 00:00:00
100;100;08314625874;2024-09-05 00:00:00
101;101;58606922703;2024-09-05 00:00:00
102;102;32047007841;2024-09-05 00:00:00
103;103;24114790857;2024-09-05 00:00:00
104;104;17701143822;2024-09-05 00:00:00
105;105;01890688444;2024-09-05 00:00:00
106;106;75941829486;2024-09-05 00:00:00
107;107;48175857899;2024-09-05 00:00:00
108;108;45701732288;2024-09-05 00:00:00
109;109;86373601780;2024-09-05 00:00:00
110;110;09000521672;2024-09-05 00:00:00
111;111;73632368190;2024-09-05 00:00:00
112;112;79705210815;2024-09-05 00:00:00
113;113;97657928865;2024-09-05 00:00:00
114;114;31422178650;2024-09-05 00:00:00
115;115;85938328379;2024-09-05 00:00:00
116;116;04228142606;2024-09-05 00:00:00
117;117;10918540829;2024-09-05 00:00:00
118;118;67346769898;2024-09-05 00:00:00
119;119;38956793738;2024-09-05 00:00:00
120;120;17323134886;2024-09-05 00:00:00
121;121;26189179661;2024-09-05 00:00:00
122;122;79900271631;2024-09-05 00:00:00
123;123;38621234176;2024-09-05 00:00:00
124;124;23997250527;2024-09-05 00:00:00
125;125;54411231380;2024-09-05 00:00:00
126;126;71036021226;2024-09-05 00:00:00
127;127;80652060616;2024-09-05 00:00:00
128;128;91410156541;2024-09-05 00:00:00
129;129;38524031960;2024-09-05 00:00:00
130;130;54944195146;2024-09-05 00:00:00
131;131;96317637954;2024-09-05 00:00:00
132;132;59275481688;2024-09-05 00:00:00
133;133;01819457182;2024-09-05 00:00:00
134;134;55927268874;2024-09-05 00:00:00
135;135;53833437426;2024-09-05 00:00:00
136;136;60884670733;2024-09-05 00:00:00
137;137;23910015769;2024-09-05 00:00:00
138;138;21075042809;2024-09-05 00:00:00
139;139;34698860190;2024-09-05 00:00:00
140;140;62166573322;2024-09-05 00:00:00
141;141;06342362942;2024-09-05 00:00:00
142;142;87438308707;2024-09-05 00:00:00
143;143;41954805857;2024-09-05 00:00:00
144;144;26880522262;2024-09-05 00:00:00
145;145;40315925141;2024-09-05 00:00:00
146;146;17476037192;2024-09-05 00:00:00
147;147;67803201747;2024-09-05 00:00:00
148;148;04107142047;2024-09-05 00:00:00
149;149;68343502088;2024-09-05 00:00:00
150;150;85354587929;2024-09-05 00:00:00
151;151;27300554961;2024-09-05 00:00:00
152;152;45048313497;2024-09-05 00:00:00
153;153;98794012877;2024-09-05 00:00:00
154;154;96430652256;2024-09-05 00:00:00
155;155;77136936457;2024-09-05 00:00:00
156;156;43778058594;2024-09-05 00:00:00
157;157;22887068909;2024-09-05 00:00:00
158;158;60715050231;2024-09-05 00:00:00
159;159;84804233939;2024-09-05 00:00:00
160;160;89549887312;2024-09-05 00:00:00
161;161;97109744151;2024-09-05 00:00:00
162;162;42767010161;2024-09-05 00:00:00
163;163;22625117288;2024-09-05 00:00:00
164;164;56551189278;2024-09-05 00:00:00
165;165;81742595366;2024-09-05 00:00:00
166;166;88608217895;2024-09-05 00:00:00
167;167;31879203375;2024-09-05 00:00:00
168;168;00321247471;2024-09-05 00:00:00
169;169;59540334095;2024-09-05 00:00:00
170;170;15650111665;2024-09-05 00:00:00
171;171;31159018838;2024-09-05 00:00:00
172;172;40862993513;2024-09-05 00:00:00
173;173;39179990483;2024-09-05 00:00:00
174;174;22412619403;2024-09-05 00:00:00
175;175;20216506191;2024-09-05 00:00:00
176;176;53984645964;2024-09-05 00:00:00
177;177;51021289111;2024-09-05 00:00:00
178;178;15965586824;2024-09-05 00:00:00
179;179;03181860750;2024-09-05 00:00:00
180;180;50305024300;2024-09-05 00:00:00
181;181;77348746364;2024-09-05 00:00:00
182;182;13118546497;2024-09-05 00:00:00
183;183;69631638191;2024-09-05 00:00:00
184;184;10915055092;2024-09-05 00:00:00
185;185;91165055885;2024-09-05 00:00:00
186;186;78240818586;2024-09-05 00:00:00
187;187;84021770681;2024-09-05 00:00:00
188;188;24893100210;2024-09-05 00:00:00
189;189;05128590711;2024-09-05 00:00:00
190;190;47559926379;2024-09-05 00:00:00
191;191;49864460919;2024-09-05 00:00:00
192;192;15958895583;2024-09-05 00:00:00
193;193;03991845079;2024-09-05 00:00:00
194;194;63875915127;2024-09-05 00:00:00
195;195;09330883548;2024-09-05 00:00:00
196;196;85538687564;2024-09-05 00:00:00
197;197;84969259899;2024-09-05 00:00:00
198;198;90866290031;2024-09-05 00:00:00
199;199;89387552491;2024-09-05 00:00:00
200;200;14507207071;2024-09-05 00:00:00
201;201;37499691920;2024-09-05 00:00:00
202;202;97715707485;2024-09-05 00:00:00
203;203;93769546513;2024-09-05 00:00:00
204;204;10043300117;2024-09-05 00:00:00
205;205;57865263924;2024-09-05 00:00:00
206;206;11383671802;2024-09-05 00:00:00
